Categoria,Nomes
Categorias,Co-produção / Longa-metragem / Sonoro / Ficção
Material original,"35mm, COR, 100min, 2.730m, 24q, Dolby Cyan SR-SRD, 1:1'66"
Data e local de produção,2007
Certificados,
Circuito exibidor,
Sinopse,
Gênero,
Termos descritores,
Descritores secundários,
Produção,Zencrane Filmes; Indiana Production
Produção  - Dados adicionais,Secretaria do Audiovisual - Ministério da Cultura - Governo Federal; Locall de Cinema e Televisão
Distribuição,Downtown Filmes
Argumento/roteiro,"Silvestre, Lusa; Jorge, Marcos"
Direção,"Jorge, Marcos"
Fotografia,"Seabra, Toca"
Dados adicionais de fotografia,"Duclerc, Lívia"
Som,"Lombardo, Maricetta"
Dados adicionais de som,"Hack, Bruno"
Montagem,"Alverdi, Luca"
Direção de arte,"Perussolo, Jussara"
Dados adicionais de direção de arte,"Silva, Daniel Ferreira da"
Música,"Venosta, Giovanni"
Canção,"Rantzer, Tito Mangiafejo - assobio e contrabaixo; Silveira, Gilson - percussão; Prada, Rodney - viola da gamba; Mariani, Massimo - viola portuguesa e guitarra elétrica; Cerino, Sandra - sax alto e soprano, flauta, clarinete;Bancolini, Liliana - voz; Beccalossi, Fausto - acordeão; Quarteto Alchimia - cordas; Tedesi, Serafino - primeiro violino; Rossetti, Simone - segundo violino; Soldá, Matteo Del - viola; Anzalone, Andrea - violoncelo; Venosta, Giovanni - piano, teclados, voz"
Identidades/elenco:,"Miguel, João (Raimundo Nonato, Alecrim)"
